Location	Polarity
Arizona	0.12536647072868318
California	0.05233533971322838
Colorado	0.1146481431474294
Virginia	0.10175890822926303
Florida	0.08530422468158906
Georgia	0.08944428192584067
Illinois	0.09264688646716779
Indiana	0.12323205882304274
Kansas	0.1228412645141658
Massachusetts	0.17616896359257664
Missouri	0.08343555990208436
Minnesota	0.16690442966539398
Missouri	0.1381702360828605
Nevada	0.09506426451369743
New York	0.07732490487645541
Ohio	0.07716326325413589
Oregon	0.1484007239169358
Pennsylvania	0.0521853039566555
Texas	0.051156893093522546
Utah	0.12753113109502548
Washington	0.10306840625064559
