Location	Polarity
Arizona	0.2425159915452071
California	0.13238507931248022
Colorado	0.05586462832104414
Virginia	0.21333077712971615
Florida	0.16697623259171915
Georgia	0.1828193964417659
Illinois	0.1792460255515409
Indiana	0.20761601958483614
Kansas	0.249950012457424
Massachusetts	0.1285762274161583
Michigan	0.16493020284515042
Minnesota	0.18214684243356183
Missouri	0.14365586491273677
Nevada	0.2704863787735012
New York	0.1518880584787654
Ohio	0.11345189279357948
Oregon	0.327200934227148
Pennsylvania	0.13806991079843647
Texas	0.1464045723272106
Utah	0.11942316849816852
Washington	0.13426630301212933
