Location	Polarity
Arizona	0.21725371460833184
California	0.11832346651479765
Colorado	0.20592581582137617
Virginia	0.13273301166648707
Florida	0.1858613000019391
Georgia	0.20216934382928317
Illinois	0.16820454966828932
Indiana	0.2061042325947815
Kansas	0.3002403375029954
Massachusetts	0.1829537784730441
Michigan	0.16867628103892746
Minnesota	0.20437049824567285
Missouri	0.22360866523827422
Nevada	0.22906162366622576
New York	0.14060048276867104
Ohio	0.17609192650522848
Oregon	0.21806311450587013
Pennsylvania	0.12729603049547142
Texas	0.135221560807394
Utah	0.2694428097714763
Washington	0.20840695339894288
